SEXO;GRUPO_EDAD1;MES;Muertes
Femenino;23;9;1004
Femenino;23;10;1011
Femenino;23;11;990
Femenino;23;12;1063
Femenino;24;1;1327
Femenino;24;2;1096
Femenino;24;3;1237
Femenino;24;4;1189
Femenino;24;5;1262
Femenino;24;6;1233
Femenino;24;7;1293
Femenino;24;8;1273
Femenino;24;9;1224
Femenino;24;10;1195
Femenino;24;11;1293
Femenino;24;12;1281
Femenino;25;1;1360
Femenino;25;2;1109
Femenino;25;3;1212
Femenino;25;4;1155
Femenino;25;5;1280
Femenino;25;6;1319
Femenino;25;7;1347
Femenino;25;8;1364
Femenino;25;9;1203
Femenino;25;10;1219
Femenino;25;11;1254
Femenino;25;12;1394
Femenino;26;1;1015
Femenino;26;2;773
Femenino;26;3;871
Femenino;26;4;849
Femenino;26;5;876
Femenino;26;6;989
Femenino;26;7;1011
Femenino;26;8;977
Femenino;26;9;873
Femenino;26;10;910
Femenino;26;11;905
Femenino;26;12;937
Femenino;27;1;457
Femenino;27;2;354
Femenino;27;3;374
Femenino;27;4;337
Femenino;27;5;412
Femenino;27;6;383
Femenino;27;7;425
Femenino;27;8;415
Femenino;27;9;392
Femenino;27;10;401
Femenino;27;11;390
Femenino;27;12;408
Femenino;28;1;95
Femenino;28;2;89
Femenino;28;3;97
Femenino;28;4;92
Femenino;28;5;134
Femenino;28;6;122
Femenino;28;7;115
Femenino;28;8;105
Femenino;28;9;103
Femenino;28;10;93
Femenino;28;11;97
Femenino;28;12;104
Femenino;29;4;1
Femenino;29;8;1
No Definido;3;4;1
No Definido;5;8;1
No Definido;8;11;1
No Definido;9;1;1
No Definido;10;8;1
No Definido;11;1;1
No Definido;11;12;1
No Definido;12;11;1
No Definido;12;12;1
No Definido;14;1;2
No Definido;14;5;1
No Definido;14;7;1
No Definido;14;8;2
No Definido;14;10;2
No Definido;15;10;1
No Definido;15;11;1
No Definido;16;7;1
No Definido;16;8;1
No Definido;16;12;1
No Definido;17;9;1
No Definido;18;1;1
No Definido;18;2;1
No Definido;18;4;1
No Definido;18;7;1
No Definido;18;8;1
No Definido;18;9;2
No Definido;18;10;4
No Definido;20;3;4
No Definido;20;6;2
No Definido;21;4;1
No Definido;21;9;1
No Definido;22;3;3
No Definido;22;4;1
No Definido;22;6;1
No Definido;22;8;3
No Definido;23;7;1
No Definido;24;3;4
No Definido;24;4;1
No Definido;24;8;1
No Definido;24;9;2
No Definido;24;10;3
No Definido;24;12;1
No Definido;26;3;1
No Definido;26;6;1
No Definido;26;8;1
No Definido;26;9;1
No Definido;26;12;1
No Definido;27;1;1
No Definido;28;4;1
No Definido;28;5;1
No Definido;28;7;1
No Definido;28;10;2
No Definido;28;12;4
No Definido;29;1;3
No Definido;29;3;2
No Definido;29;4;1
No Definido;29;5;2
No Definido;29;8;1
No Definido;29;9;1
No Definido;29;10;1
No Definido;29;11;1
No Definido;29;12;3
